month,month_name,income,cost_of_goods_sold,expense,hours_worked,billable_hours,billable_amount,new_biz_hours,new_biz_amount,num_of_time_entries,number_of_time_entries_billable,number_of_new_biz_time_entries
1,Jan,407715.91,134466.47,242256.23,6196.662,4181.549,459218.19,571.75,55117.5,639,602,23
2,Feb,381157.73,123865.33,245768.98,5087.3,3051.85,330105.75,256.75,25608.75,538,499,20
3,Mar,527446.13,167441.29,332037.45,5497.351,3343.735,360651.36,221.75,8688.75,571,534,19
4,Apr,568181.53,184280.56,357303.42,5868.5,3691.25,409938.5,83.25,6750,635,596,19
5,May ,594861.56,232113.09,238431.56,6522.2,4394.95,485225.4,140,12521.25,651,610,20
6,Jun,605309.25,301239.26,287583.34,5576.25,3335.65,369245.76,119.75,8298.75,585,548,19
7,Jul,723102.93,273816.82,389885.49,6479.3,4197.4,468029.83,279.25,26606.25,680,652,21
8,Aug,775699.91,360234.23,368201.31,6642.75,4348.5,492341.45,220.25,22402.5,654,618,22
9,Sep,804935.79,366550.59,384613.35,6745.9,4122.4,469659.08,300.5,35156.25,599,563,21
10,Oct,756619.61,350129.27,325052.62,6914.25,4316.75,492309.06,211,20625,698,648,23
11,Nov,581972.1,234621.98,545693.81,6455.1,3452.6,396188.65,141.5,13818.75,646,599,18
12,Dec,589133.85,264313.09,539527.14,7118.5,3404.25,383932.77,61.25,6626.25,596,558,17
13,Jan,651500.99,254487.89,286188.19,7859,4853.25,536424.51,202,24101.25,697,653,22
14,Feb,566135.56,137057.99,358967.71,6807.25,4226,471635.54,161,17343.75,644,607,20
15,Mar,439164.73,82526.76,332575.2,7122.575,4158.625,456046.11,192.75,23662.5,684,642,20
16,Apr,574521.76,152301.24,361684.79,7406.95,4304.7,475359.67,150.1,18117,725,686,22
17,May,501189.67,204645.8,282647.14,7510.35,4159.4,453479.28,198.3,21891,621,571,22
18,Jun,520503.23,142443.15,343190.43,7184.35,3966.25,426854.9,155.25,18817.5,617,572,20
19,Jul,508099.95,149589.08,313544.54,8173.55,4708.05,506807.25,229.5,25204.5,678,629,22
20,Aug,558308.64,161447.87,354575.12,7174.15,4380.2,464010.55,379.1,42263.25,656,613,20
21,Sep,624671.61,132356.47,448082.28,7803.7,5052.25,549951.1,550.35,64677,729,676,24
22,Oct,841705.96,342049.23,447459.57,8046.8,5061,547628.55,39.5,3348.75,746,702,15
23,Nov,790559.86,242517.82,472031.82,7022.15,3591.35,392238.6,192.05,22753.5,580,532,19
24,Dec,457864.93,132209.76,583873.3,8143.77,3854.37,425118.55,154.85,19545.75,665,606,20
25,Jan,545623.82,146390.46,361598.06,7779.38,4394.18,479607.4,580.2,69249,631,548,22
26,Feb,406968.84,69938.39,306156.45,7184.5,4298.9,469781.9,192,22537.5,643,577,20
27,Mar,784333.47,286561.72,427935.69,8080.45,4850.9,525087,203.6,21762,763,678,22
28,Apr,588458.17,138172.41,399780.75,7848.9,4439.25,488705.65,268.1,31185.75,712,654,23
29,May,512051.66,137876.12,348011.54,7486.35,4236.1,462481.95,147.1,17850.75,691,633,20
30,Jun,722173.88,167208.23,498617.39,7785.55,4557.05,499467.25,107.5,12333.75,699,652,21
31,Jul,651303.82,188094.49,405219.32,7904.15,4424.6,488532.65,142,15772.5,662,615,20
32,Aug,625238.87,182727.01,405971.05,7328,3933.4,426526.95,221.35,26408.25,643,601,21
33,Sep,534575.52,151886.84,369303.23,7624.55,4515.9,504580.35,356.1,44434.5,655,607,21
34,Oct,860153.34,340623.27,470342.28,7847,4391.7,485016.75,344.35,39630.75,691,642,24
35,Nov,602222.72,219120.11,388747.53,7633.4,3500.15,384517.75,231.75,27311.25,548,507,19
36,Dec,478075.22,181504.32,508859.54,8579.05,3614.05,391008.4,396,51195,509,467,21
37,Jan,553870.47,64806.92,435046.57,8125.75,4581.6,503487.85,380.75,46702.5,560,514,20
38,Feb,426514.25,101168.71,343113.28,7893.25,4224.15,460285.25,311.1,34133.25,622,575,23
39,Mar,490357.69,80361.58,380035.32,8035,4331.7,476670.25,381,43406.25,687,638,25
40,Apr,558206.87,115440.26,400417.86,7478.35,4311.65,477273.75,717.75,81423.75,640,591,22
41,May,522375.49,118682.24,387503.73,7372.83,4303.35,468297.2,229.75,25462.5,655,606,23
42,Jun,572557.34,139643.6,362547.26,6911.44,3861.27,415039.95,208.67,19989.15,688,637,22
43,Jul,574860.54,199042.97,361581.58,6162.33,3512.41,379571.14,190,21308.55,619,549,20
44,Aug,570817.65,187918.41,341240.41,6632.27,3758.29,404778.82,135.24,15326.4,704,655,23
45,Sep,683476.98,278014.57,356726.42,6435.25,3421.12,367502.21,268.75,30795,655,597,22
46,Oct,934338.44,552069.97,365432.12,6098.47,3375.61,387326.15,425.49,53570.25,639,579,21
47,Nov,664797.5,237243.06,383993.25,6693.08,3352.45,381750.95,229.59,26068.2,662,600,21
48,Dec,664879.46,254026,565547.65,6907.67,3452.07,393563.6,274.67,32889.15,593,551,20
49,Jan,654290.23,242713.64,393117.77,7097.91,4027.04,460035.65,414.24,47887.55,761,714,26
50,Feb,570228.44,96770.93,414112.36,6472.06,3935.63,482656.8,223.15,29527.75,686,640,20
51,Mar,601421.55,151093.68,401790.21,7574.74,4397.66,547444.9,229.62,31722.45,742,693,23
52,Apr,654304.77,242759.39,382013.99,6625.72,3466.79,423313.9,260.75,36976.25,547,501,19
53,May,758979.42,237922.12,465629.86,7929.5,4356.24,526388.25,455.45,58014.85,690,637,25
54,Jun,732063.34,239633.41,448267.97,7665.85,4543.48,558251.45,412.6,55248.5,702,659,22
55,Jul,656748.22,206904.13,401281.03,7214.39,3460.35,420022.45,285.18,39710.55,609,574,19
56,Aug,574020.64,141183,407188.67,7645.89,4232.74,518457.3,384.63,50825.7,694,666,23
57,Sep,442348.44,101544.09,351376.94,6586.72,3537.29,437491.85,265.15,32583.4,575,546,22
58,Oct,750321.52,207020.92,507545.9,7422.82,4321.45,535888.45,286.84,36280.55,626,593,23
59,Nov,714734.89,251173.3,449593.22,7397.68,3875.73,481814.5,212.22,31955.95,539,506,23
60,Dec,652670.89,176645.96,568861.81,7037.71,3698.93,447519.65,188.2,27198.25,451,421,21
61,Jan,631613.32,123565.91,468418.12,7618.6,4295.5,528417.7,241.3,33943,627,568,23
62,Feb,598013.41,149114.63,416142.16,6756.81,4081.97,504911.9,442.46,63179.3,547,499,23
63,Mar,751997.5,198594.69,511969.68,7794.85,5010.48,617576.32,361.62,51097.65,574,526,21
64,Apr,1392961.35,549681.89,737982.6,7470.97,4835.4,580939,236.45,31948.55,598,548,23
65,May,874541.03,295096.31,470125.27,8532.837,4456.08,534382.15,273.48,36780.45,596,527,24
66,Jun,766178.07,166132.97,519187.32,8969.263,5227.563,650053.24,410.63,56415.95,735,675,22
67,Jul,707829.31,180258.32,489670.17,9064.84,4459.7,552113.8,214.89,30203.9,688,630,20
68,Aug,947828.34,228139.26,632033.71,9709.74,5487.67,676335.6,380.94,53038.5,795,734,26
69,Sep,672792.03,145224.96,494966.2,8446.03,4670.49,580306.06,313.95,44959.5,702,648,23
70,Oct,895603.5,234433.47,583900.47,9684.62,5014.69,607479.05,329.69,44552,758,697,23
71,Nov,474090.84,72343.45,396835.16,9356.933,4205.873,497921.34,126.54,16959.75,689,617,20
72,Dec,548548.59,126745.36,606713.75,9016.434,3473.85,418522.45,254.78,33371.3,561,498,18
73,Jan,769626.53,145164.93,558000.28,9776.38,5054.21,650752.65,464.29,66991.4,824,703,23
74,Feb,859917.42,249326.68,557169.02,8774.655,4964.655,639750.64,328.73,47403.3,766,677,20
75,Mar,731277.3,145024.28,518685.93,9220.1,5138.76,661857.29,506.48,75138.55,801,703,21
76,Apr,818073.16,160275.8,594533.43,10128.757,5496.782,692547.08,293.94,41591.9,831,748,22
77,May,1012505.7,230387.75,705321.36,10764.6,6068.27,766006.67,281.95,38013.25,845,766,23
78,Jun,846539.4,175961.22,605843.13,9298.3,4767.45,629492.51,201.65,27181.5,753,684,20
79,Jul,963341.64,255157.54,649991.71,10935.15,5478.08,737397.65,203.75,27635,834,750,22
80,Aug,838696.03,112806.23,675576.75,10096.83,5684.31,752191.15,357.95,54731,801,722,22
81,Sep,897759.88,161712.28,683630.34,9710.23,5455.64,726932.54,317.96,43115.05,791,714,22
82,Oct,926194.87,114636.23,737341.54,10600.7,5779.55,777110.85,161.75,25075,905,822,22
83,Nov,677295.73,110101.13,552268.89,9636.51,5153.69,693316.57,449.87,71933.6,693,625,20
84,Dec,603071.16,74169.77,579074.93,9942.23,4010.82,540260.6,321.75,53041.25,552,488,17
85,Jan,887509.15,85139.63,762821.46,10488.015,5876.705,788212.19,324.15,51169.5,762,679,22
86,Feb,771923.37,108176.85,611222.52,8696.35,4790.39,640802.95,172.9,28182,680,614,20
87,Mar,907614,234655.61,599558.23,9438.72,5080.18,690309.97,250.46,40000.05,778,705,23
88,Apr,696073.82,42347.15,570151.27,9565.3,5177.67,686822.35,164.32,26352.1,680,612,21
89,May,930932.27,271798.23,595775.68,9086.97,4997.18,653396.91,102.82,16357.1,690,607,20
90,Jun,850834.39,46422.32,740661.21,9446.89,5518.74,727241.75,104.8,15304,773,690,18
91,Jul,722491.98,89454.88,565764.12,9625.48,4888.02,640689.61,60,8617.5,782,704,18
92,Aug,726087.96,62373.59,634951.74,8914.635,5161.545,683125.74,206.93,32452.9,671,602,23
93,Sep,798526.78,77368.98,672255.4,9324.12,5458.12,721721.65,185.55,30034,704,626,22
94,Oct,908766.3,131353.74,548789.84,9436.21,5692.74,754414.06,75.8,11875.25,728,654,22
